member_no,date,amount,source,reference,description
ILS24-F00053,2024-04-27,100000,mkoba,SHR-ILS24-F00053-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00017,2024-08-02,900000,mkoba,SHR-ILS24-F00017-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00017,2025-01-28,100000,mkoba,SHR-ILS24-F00017-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00029,2024-12-23,800000,mkoba,SHR-ILS24-F00029-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00029,2024-12-29,200000,mkoba,SHR-ILS24-F00029-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00029,2025-01-30,200000,mkoba,SHR-ILS24-F00029-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00022,2024-12-24,800000,mkoba,SHR-ILS24-F00022-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00022,2024-12-27,200000,mkoba,SHR-ILS24-F00022-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00032,2024-12-26,1000000,mkoba,SHR-ILS24-F00032-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00046,2025-01-03,1000000,mkoba,SHR-ILS24-F00046-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00027,2025-01-05,1000000,mkoba,SHR-ILS24-F00027-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00030,2025-01-12,1000000,mkoba,SHR-ILS24-F00030-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00030,2025-03-12,200000,mkoba,SHR-ILS24-F00030-0002,Historical share capital (Ilboru DETAILS)
